                source_id|          ra|         dec|phot_g_mean_mag|parallax|     pmra|    pmdec|delta_mu|delta_mu_un|pm_error|      F|   F_un|
      4152557420406043264|276.01801514|-13.14792143|         15.400|    52.5| -205.503| -638.933|     7.5|       17.7|    11.7|    0.6|    1.5|
       901941452829250560|121.85665819| 32.21833679|         16.499|    52.7| -372.942| -253.509|     2.5|        1.3|     9.9|    0.3|    0.1|
      1239625559894563968|215.37737090| 18.46051866|         17.839|    52.9| -753.636| -165.528|     8.0|        6.0|     6.7|    1.2|    0.9|
      1104878103513141760| 90.61043756| 66.34230092|         13.014|    52.9|  339.501| -473.889|    11.9|        9.2|     6.9|    1.7|    1.3|
      4310146505003156992|284.91030116|  8.48230654|         13.758|    53.0| -377.994| -254.182|     4.1|        5.4|     5.9|    0.7|    0.9|
       666988221840703232|118.10053541| 16.20259811|         14.753|    53.0|  183.169| -350.297|     5.7|        4.2|     5.4|    1.1|    0.8|
      3795993633527490304|176.92404164|  0.25123388|         14.814|    53.0| -306.025| -100.288|    10.7|        7.2|     8.9|    1.2|    0.8|
      2856874535763703680|  4.72528752| 27.81335564|         12.501|    53.1|  394.367| -112.136|     1.8|        9.2|     5.9|    0.3|    1.6|
      1390976698417570688|232.43593911| 42.87747231|         12.944|    53.1|  449.650| -613.007|    17.9|       15.6|     6.0|    3.0|    2.6|
          769456276704128| 47.51489912|  2.57276951|         14.599|    53.1|  180.201| -320.720|    12.8|       21.1|    11.2|    1.1|    1.9|
      4364462551205872000|256.45198262| -5.28007364|         18.188|    53.1|  116.908| -119.751|    10.8|        6.2|     6.4|    1.7|    1.0|
       694072869723271296|140.09582755| 26.72619427|         14.077|    53.2|  896.292| -544.985|     2.0|        5.8|     7.6|    0.3|    0.8|
      2514052131687080192| 35.19339905|  2.97579951|         13.201|    53.4|  152.037| -293.535|     4.9|       18.6|    11.2|    0.4|    1.7|
      4171383636445972096|271.77647301| -6.43070164|         17.632|    53.4|  124.347| -206.743|     7.8|       12.1|     7.2|    1.1|    1.7|
      1188693088919917952|224.10921481| 17.91876930|         14.055|    53.5| -848.101|  488.087|     8.9|       19.1|    16.4|    0.5|    1.2|
      4159791176135290752|277.82623511| -7.54101559|         17.314|    53.5|  136.400| -152.838|    31.1|       26.8|     7.7|    4.0|    3.5|
      2461728194387221504| 30.43402324|-10.29031782|         13.026|    53.5|  274.791|  244.102|     3.1|        5.3|     6.2|    0.5|    0.9|
      1461049369026235904|197.83803392| 28.54288114|         14.098|    53.6| -404.025| -448.008|     8.3|        4.9|     7.4|    1.1|    0.7|
      1188693088920139136|224.11183882| 17.92127785|         16.053|    53.6| -850.262|  495.669|     8.5|       18.3|    16.4|    0.5|    1.1|
       671143035762692352|115.27734903| 17.64357223|         16.069|    53.6| -201.403| -499.207|     4.7|        2.7|     6.1|    0.8|    0.4|
      2204001126955518592|329.65172571| 61.28549118|         14.749|    53.7|  807.952|  110.732|     2.2|        4.5|     6.7|    0.3|    0.7|
      3301319572621418368| 60.10955103|  8.23350576|         15.696|    53.8| -362.651| -394.331|     4.7|        6.1|     6.9|    0.7|    0.9|
       405118190290397568| 14.90277744| 52.62245766|         13.854|    53.8| -112.208|  336.067|    79.1|       74.2|     5.8|   13.5|   12.7|
      4101582957531738112|285.81710045|-13.57024587|         13.421|    53.8| -493.580| -490.670|    11.6|        4.2|     6.2|    1.9|    0.7|
      3865934633321490048|163.94577942|  8.14464500|         17.069|    53.9| -329.409| -138.187|     9.1|       11.0|    10.8|    0.8|    1.0|
      1530331933155079808|193.62965479| 44.99190694|         14.158|    53.9| -651.892| -269.168|     4.1|        4.8|     7.3|    0.6|    0.7|
