                source_id|          ra|         dec|phot_g_mean_mag|parallax|     pmra|    pmdec|delta_mu|delta_mu_un|pm_error|      F|   F_un|
      1327654969076730880|249.25489571| 35.59352644|         14.669|    56.5| -196.479| -508.237|     3.4|        1.7|     6.0|    0.6|    0.3|
      6311012064136913920|220.44099076|-14.45563076|         14.357|    56.5| -145.689| -182.175|     4.9|        2.9|     6.2|    0.8|    0.5|
       646076953786745472|142.29097803| 25.96804320|         14.390|    56.6|-1048.221| -270.144|     2.1|        5.2|    10.3|    0.2|    0.5|
      1041395708035677312|132.12736461| 61.14977485|         13.642|    56.7|  403.639| -411.637|     7.6|        6.7|     6.3|    1.2|    1.1|
       765038614353808768|167.20415887| 39.91947730|         14.118|    56.9| -317.056| -159.386|     1.6|        3.1|     5.9|    0.3|    0.5|
      3022439786949104256| 86.79036794| -5.20562649|         13.079|    56.9|  532.053| -554.203|     4.6|        2.5|     6.1|    0.8|    0.4|
      3574445407785255296|182.18346205|-11.56400408|         14.422|    56.9|  247.857| -329.236|    12.1|       14.5|    10.8|    1.1|    1.3|
      3794437034301022720|177.98105299| -1.52632710|         13.864|    57.0|  142.664| -159.656|     7.9|        7.4|     9.4|    0.8|    0.8|
      2660358032257156736|352.19670802|  5.24721310|         13.062|    57.1| -398.246| -266.744|     1.2|       14.4|     6.9|    0.2|    2.1|
      2460900300786503296| 28.46344420|-10.53836329|         13.754|    57.2|  618.217| -271.465|     4.3|        7.0|     9.9|    0.4|    0.7|
      5745027011945719808|142.23139279| -7.37312571|         13.474|    57.2| -166.488| -712.629|     2.1|        5.9|     7.5|    0.3|    0.8|
      2766234439302571904|  1.83723771| 12.50484548|         16.257|    57.3|  355.027| -232.299|     4.8|        6.0|     8.1|    0.6|    0.7|
       287949592667076864| 85.09475933| 64.28386277|         17.341|    57.3| -324.107| -105.245|    13.0|       16.1|     6.3|    2.1|    2.6|
       151650935831913216| 69.18820274| 27.16365247|         15.611|    57.5|  227.479| -148.400|     5.3|       12.0|     6.7|    0.8|    1.8|
      1604901876901703168|215.76332805| 51.77600463|         15.867|    57.8|  362.720|  192.974|     9.5|       14.2|     8.2|    1.2|    1.7|
      3987041475434695936|159.03739435| 19.39015002|         15.078|    58.1|  228.859| -381.929|     5.9|        9.8|     6.3|    0.9|    1.5|
       418363560198079616|  9.82609486| 55.13591103|         12.881|    58.2| -360.778| -234.308|     7.2|        5.6|     5.9|    1.2|    1.0|
       333010327952701696| 32.84280348| 39.92041953|         14.405|    58.2| 1028.678| -500.415|     5.3|        9.6|     5.6|    0.9|    1.7|
      1209432042883668480|233.71072952| 18.00196306|         13.886|    58.5| -205.699| -336.312|    19.3|       17.1|    14.8|    1.3|    1.2|
      1590096093840214272|221.50611085| 46.55503194|         13.231|    58.6|  496.880| -415.588|    16.9|       22.9|     6.6|    2.6|    3.5|
      2150504594853811456|277.58240469| 54.79216972|         15.451|    58.7| -267.036|  287.690|     2.8|        8.9|     8.8|    0.3|    1.0|
      4247106761739962880|301.23744889|  3.35064978|         13.398|    58.7| -102.255| -336.557|     3.6|        4.1|     6.9|    0.5|    0.6|
      1668664785283445760|219.54101774| 64.14250036|         17.642|    58.9|  644.154| -206.958|     1.9|        3.5|     6.1|    0.3|    0.6|
      5751680775281710720|127.84505768|-10.49969685|         13.349|    58.9| -593.355| -324.795|     2.7|        3.4|     6.2|    0.4|    0.5|
      2276449837884804480|306.21543762| 74.20966132|         13.635|    58.9|  233.230|  634.999|     4.1|       10.0|    11.0|    0.4|    0.9|
      3261591090771914240| 51.29708001| -1.82470818|         15.908|    59.1|  235.863| -868.900|    12.6|        6.7|     7.1|    1.8|    1.0|
      3181367767472670080| 73.01496562|-10.97369053|         14.141|    59.1| -391.376| -218.224|    35.6|       41.0|     7.1|    5.0|    5.8|
      2100693797539808896|286.70286292| 40.18492091|         17.839|    59.7|  438.293| -179.712|     3.8|        4.4|     5.6|    0.7|    0.8|
      1869054868256849920|312.36322645| 33.61232589|         15.380|    59.7| -207.809| -412.215|     8.1|        5.0|     6.0|    1.4|    0.8|
      6914281796143286784|310.68929166| -5.00480609|         15.175|    60.0|  241.054|  116.992|     8.6|        8.9|     5.7|    1.5|    1.6|
      4412417304175836544|240.67278256|  1.53034727|         14.438|    60.0| -163.832| -559.163|     3.2|        3.4|     6.7|    0.5|    0.5|
      2801216123294143360|  5.86553641| 24.30736067|         12.821|    60.2| -225.259|  117.710|     6.1|        5.6|     5.9|    1.0|    0.9|
       523359498947960704| 15.62486403| 63.54342731|         14.037|    60.2|  125.764|  298.934|    29.2|       28.6|     6.8|    4.3|    4.2|
      2281046483684995840|336.79143736| 77.86718789|         13.511|    60.5|  237.579|  249.364|     3.3|        3.8|     7.2|    0.5|    0.5|
      2145277550935526784|278.48924205| 51.72092654|         13.907|    60.6|  199.634| -339.350|     1.7|        2.2|     5.6|    0.3|    0.4|
      3704392873141718912|195.03580969|  3.47422444|         15.636|    60.6| -438.744| -865.954|     1.3|        1.4|    10.1|    0.1|    0.1|
      1726678630833373824|197.18266883| 85.04004183|         15.809|    60.7|  214.430| -250.712|     3.5|        1.3|     7.8|    0.4|    0.2|
